epoch,step,sys/eta_seconds,sys/steps_per_sec_live,train/bit_balance_loss,train/bit_density,train/bits_per_token,train/block0_exact_acc,train/block0_token_acc,train/block1_exact_acc,train/block1_token_acc,train/block2_exact_acc,train/block2_token_acc,train/block3_exact_acc,train/block3_token_acc,train/budget_loss,train/chunk_deviation_max,train/chunk_deviation_mean,train/chunk_deviation_p50,train/chunk_deviation_p90,train/chunk_deviation_p95,train/chunk_deviation_rate_mean,train/diffusion_embed_mse,train/effective_bits_per_token,train/exact_chunk_acc,train/gist_loss,train/lookup_slot_cost_loss,train/lookup_slot_target_loss,train/loss,train/residual_router_loss,train/selector_loss,train/token_acc,train/token_ce,train/token_top10_acc,train/token_top5_acc,train/variable_window_cost_loss,train/variable_window_loss,train/variable_window_nonimprove_loss,train/weighted_token_ce,val/bit_balance_loss,val/bit_density,val/bits_per_token,val/block0_exact_acc,val/block0_token_acc,val/block1_exact_acc,val/block1_token_acc,val/block2_exact_acc,val/block2_token_acc,val/block3_exact_acc,val/block3_token_acc,val/budget_loss,val/chunk_deviation_max,val/chunk_deviation_mean,val/chunk_deviation_p50,val/chunk_deviation_p90,val/chunk_deviation_p95,val/chunk_deviation_rate_mean,val/diffusion_embed_mse,val/effective_bits_per_token,val/exact_chunk_acc,val/gist_loss,val/lookup_slot_cost_loss,val/lookup_slot_target_loss,val/loss,val/residual_router_loss,val/selector_loss,val/token_acc,val/token_ce,val/token_top10_acc,val/token_top5_acc,val/variable_window_cost_loss,val/variable_window_loss,val/variable_window_nonimprove_loss,val/weighted_token_ce
0,4,,,0.07855530083179474,0.499267578125,20.0,0.0,0.0078125,0.0,0.01953125,0.0,0.013671875,0.0,0.005859375,0.0,64.0,63.25,63.0,64.0,64.0,0.98828125,0.0,20.0,0.0,0.0,0.0,0.0,10.692436218261719,0.0,0.0,0.01171875,10.691650390625,0.05615234375,0.04052734375,0.0,0.0,0.0,10.691650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,,,0.08034057915210724,0.4937988221645355,20.0,0.0,0.06640625,0.0,0.0859375,0.0,0.0625,0.0,0.060546875,0.0,63.0,59.59375,60.0,61.0,62.0,0.93115234375,0.0,20.0,0.0,0.0,0.0,0.0,10.400308609008789,0.0,0.0,0.06884765625,10.399505615234375,0.078125,0.07275390625,0.0,0.0,0.0,10.399505615234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,,,0.07890548557043076,0.48420411348342896,20.0,0.0,0.06640625,0.0,0.06640625,0.0,0.0703125,0.0,0.05859375,0.0,63.0,59.8125,60.0,61.0,62.0,0.9345703125,0.0,20.0,0.0,0.0,0.0,0.0,10.280970573425293,0.0,0.0,0.0654296875,10.280181884765625,0.091796875,0.07568359375,0.0,0.0,0.0,10.280181884765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,0.07577285915613174,0.4731201231479645,20.0,0.0,0.068359375,0.0,0.06640625,0.0,0.072265625,0.0,0.052734375,0.0,62.0,59.84375,60.0,61.0,61.44999694824219,0.93505859375,0.0,20.0,0.0,0.0,0.0,0.0,10.098902702331543,0.0,0.0,0.06494140625,10.09814453125,0.13720703125,0.10888671875,0.0,0.0,0.0,10.09814453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,,,0.06714477390050888,0.460205078125,20.0,0.0,0.06640625,0.0,0.05859375,0.0,0.07421875,0.0,0.0625,0.0,63.0,59.8125,60.0,61.0,61.44999694824219,0.9345703125,0.0,20.0,0.0,0.0,0.0,0.0,9.977508544921875,0.0,0.0,0.0654296875,9.976837158203125,0.1484375,0.1298828125,0.0,0.0,0.0,9.976837158203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,0.06404495239257812,0.45100098848342896,20.0,0.0,0.10546875,0.0,0.0703125,0.0,0.076171875,0.0,0.05859375,0.0,63.0,59.03125,60.0,61.0,62.0,0.92236328125,0.0,20.0,0.0,0.0,0.0,0.0,9.774826049804688,0.0,0.0,0.07763671875,9.774185180664062,0.19091796875,0.14794921875,0.0,0.0,0.0,9.774185180664062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,,,0.0627235397696495,0.4559326171875,20.0,0.0,0.126953125,0.0,0.06640625,0.0,0.060546875,0.0,0.068359375,0.0,63.0,58.84375,59.0,61.900001525878906,62.44999694824219,0.91943359375,0.0,20.0,0.0,0.0,0.0,0.0,9.654680252075195,0.0,0.0,0.08056640625,9.654052734375,0.19140625,0.1640625,0.0,0.0,0.0,9.654052734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,,0.06048736721277237,0.45234376192092896,20.0,0.0,0.189453125,0.0,0.076171875,0.0,0.0859375,0.0,0.0625,0.0,62.0,57.375,58.5,60.900001525878906,61.44999694824219,0.896484375,0.0,20.0,0.0,0.0,0.0,0.0,9.440057754516602,0.0,0.0,0.103515625,9.439453125,0.1982421875,0.17919921875,0.0,0.0,0.0,9.439453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,44,,,0.06441421806812286,0.45378419756889343,20.0,0.0,0.134765625,0.0,0.064453125,0.0,0.08203125,0.0,0.06640625,0.0,63.0,58.4375,59.0,61.0,61.44999694824219,0.9130859375,0.0,20.0,0.0,0.0,0.0,0.0,9.305377006530762,0.0,0.0,0.0869140625,9.304733276367188,0.17431640625,0.158203125,0.0,0.0,0.0,9.304733276367188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,,0.07517166435718536,0.4417724609375,20.0,0.0,0.12890625,0.0,0.09375,0.0,0.080078125,0.0,0.068359375,0.0,62.0,58.0625,59.0,60.900001525878906,61.0,0.9072265625,0.0,20.0,0.0,0.0,0.0,0.0,9.082599639892578,0.0,0.0,0.0927734375,9.08184814453125,0.2060546875,0.1748046875,0.0,0.0,0.0,9.08184814453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
